data,temperatura_obs,precipitacao_obs,temperatura_eta,precipitacao_eta,temperatura_brams,precipitacao_brams,temperatura_wrf,precipitacao_wrf
2023-11-01,22.55416667,0.2,17.8,0,21.52,25,24.22,31.4
2023-11-02,22.725,0,21.96,0,25.33,4,24.79,11.1
2023-11-03,24.52173913,1.7,25.66,0,25.23,10,22.7,3.8
2023-11-04,23.14583333,0,26.66,0,20.78,9,21.47,9.2
2023-11-05,20.45833333,0,23.24,6.2,20.54,0,17.97,0
2023-11-06,20.49583333,0,23.16,21.7,20.32,0,18.25,0
2023-11-07,22.225,0,24.08,2.5,22.22,0,20.06,0
2023-11-08,26.0625,0,27.4,2.9,23.15,0,22.64,0
2023-11-09,27.45,0,28.54,0,25.39,3.5,23.74,0
2023-11-10,27.125,0,29.97,0,24.42,2.5,28.05,0
2023-11-11,28.75416667,0,31.29,0,26.91,1,29.92,0
2023-11-12,30.25833333,0,32.13,4.5,25.19,0.5,31.2,0
2023-11-13,32.075,0,25.73,0,23.68,0,23.92,0
2023-11-14,30.07916667,0,29.11,1,26.97,0.5,26.45,0.2
2023-11-15,28.52916667,0.7,31.17,0,29.8,0.5,27.21,0
2023-11-16,23.45333333,7.2,25.08,0,26.14,0,31.41,0.2
2023-11-17,30.66666667,0,30.42,0,30.83,0,30.86,0
2023-11-18,31.20416667,0,31.02,0,33.97,0,31.04,0.1
2023-11-19,23.94166667,55.1,31.2,1.6,26.47,24.8,25.88,23.3
2023-11-20,23.48333333,0,26.87,1.2,23.32,2.2,21.42,36.6
2023-11-21,26.325,0,23.9,23.3,25.47,3,23.35,0
2023-11-22,27.47083333,0,22.61,0,28.3,1,27.88,0
2023-11-23,26.45416667,0.7,25.12,18.5,28.32,1.5,31.01,0.3
2023-11-24,21.69166667,3.6,27.31,3,28.49,6.5,28.56,4
2023-11-25,19.35,0.5,29.47,3.2,22.98,4.7,19.02,0
2023-11-26,21.375,0,29.68,8,21.04,8.8,20.79,0
2023-11-27,23.05416667,14.3,24.89,23,21.86,7,21.68,16.2
2023-11-28,24.39166667,0,27.05,8.4,21.75,5.5,21.63,30.3
2023-11-29,23.12083333,65.5,25.72,71.6,23.96,1.2,24,6.2
2023-11-30,24.74583333,2,28.3,4.9,23.54,8.5,23.53,1.2
2023-11-30,24.74583333,2,28.3,4.9,23.54,8.5,23.53,1.2
2023-12-01,26.179166665,1,26.1,0,23.26,16,24.88,1.1
2023-12-02,27.6125,0,29.91,0,23.62,8.5,25.69,24.5
2023-12-03,29.2875,0,26.89,0,26.02,0,25.76,12.1
2023-12-04,27.45833333,0,22.93,10.2,22.75,13.7,24.89,28.2
2023-12-05,24.99583333,8.3,26.8,5.6,23.2,111.3,25.2,1.1
2023-12-06,26.7375,0,23.48,35.4,25.36,3.9,23.46,9.6
2023-12-07,28.675,0,24.38,38.8,26.67,46.3,24.86,11
2023-12-08,25.64166667,4.7,24.65,31.6,23.33,12.4,23.53,1.2
2023-12-09,23.55416667,0,28.44,3.5,20.94,0.2,22.18,1.2
2023-12-10,23.87916667,1,29.48,3.1,23.69,4.8,22.1,0
2023-12-11,24.39166667,7,24.7,0,24.88,8.5,23.06,0
2023-12-12,23.42083333,0,28.35,9.3,26.12,11.5,24.24,18.3
2023-12-13,24.55,0,28.38,10,25.82,11.3,24.33,4.3
2023-12-14,27.175,0,26.46,16.2,26.04,3,26.89,0
2023-12-15,29.16666667,0,21.34,2.5,26.65,0,26.92,2.6
2023-12-16,29.40833333,0,27.42,9.9,26.57,0.2,27.95,0
2023-12-17,29.49166667,0,26.61,18.2,27.73,0,28.52,0
2023-12-18,28.80416667,0,27.95,4.2,28.74,0,28.88,0
2023-12-19,26.15,0,28.3,14.2,26.98,0,25.91,0
